Time,Day,Skelton Stage,Skelton Flow,Viking Stage,Viking Flow
30/10/2000 01:15,0.052083333,4.437,252,3.253992,251
30/10/2000 01:30,0.0625,4.452,253,3.2565156,251
30/10/2000 01:45,0.072916667,4.458,253,3.262404,252
30/10/2000 02:00,0.083333333,4.458,253,3.2691336,252
30/10/2000 02:15,0.09375,4.461,254,3.2724984,253
30/10/2000 02:30,0.104166667,4.465,254,3.2767044,252
30/10/2000 02:45,0.114583333,4.474,254,3.2893224,253
30/10/2000 03:00,0.125,4.477,255,3.2943696,253
30/10/2000 03:15,0.135416667,4.484,255,3.2943696,253
30/10/2000 03:30,0.145833333,4.488,255,3.2968932,254
30/10/2000 03:45,0.15625,4.507,255,3.300258,254
30/10/2000 04:00,0.166666667,4.507,255,3.3078288,254
30/10/2000 04:15,0.177083333,4.511,256,3.3103524,255
30/10/2000 04:30,0.1875,4.515,256,3.3162408,255
30/10/2000 04:45,0.197916667,4.523,257,3.3196056,255
30/10/2000 05:00,0.208333333,4.529,258,3.3355884,255
30/10/2000 05:15,0.21875,4.539,259,3.3355884,255
30/10/2000 05:30,0.229166667,4.552,258,3.3389532,256
30/10/2000 05:45,0.239583333,4.559,259,3.342318,256
30/10/2000 06:00,0.25,4.563,260,3.3490476,257
30/10/2000 06:15,0.260416667,4.573,260,3.3540948,258
30/10/2000 06:30,0.270833333,4.58,260,3.3625068,259
30/10/2000 06:45,0.28125,4.589,261,3.3734424,258
30/10/2000 07:00,0.291666667,4.606,262,3.3793308,259
30/10/2000 07:15,0.302083333,4.609,263,3.3826956,260
30/10/2000 07:30,0.3125,4.616,264,3.3911076,260
30/10/2000 07:45,0.322916667,4.626,265,3.396996,260
30/10/2000 08:00,0.333333333,4.632,265,3.4045668,261
30/10/2000 08:15,0.34375,4.654,267,3.4188672,262
30/10/2000 08:30,0.354166667,4.663,268,3.4213908,263
30/10/2000 08:45,0.364583333,4.68,270,3.4272792,264
30/10/2000 09:00,0.375,4.696,271,3.4356912,265
30/10/2000 09:15,0.385416667,4.709,271,3.4407384,265
30/10/2000 09:30,0.395833333,4.721,266,3.4592448,267
30/10/2000 09:45,0.40625,4.733,268,3.4668156,268
30/10/2000 10:00,0.416666667,4.746,273,3.481116,270
30/10/2000 10:15,0.427083333,4.76,274,3.4945752,271
30/10/2000 10:30,0.4375,4.77,275,3.5055108,271
30/10/2000 10:45,0.447916667,4.781,276,3.5156052,266
30/10/2000 11:00,0.458333333,4.797,277,3.5256996,268
30/10/2000 11:15,0.46875,4.809,278,3.5366352,273
30/10/2000 11:30,0.479166667,4.821,280,3.548412,274
30/10/2000 11:45,0.489583333,4.827,282,3.556824,275
30/10/2000 12:00,0.5,4.843,284,3.5660772,276
30/10/2000 12:15,0.510416667,4.861,286,3.5795364,277
30/10/2000 12:30,0.520833333,4.872,289,3.5896308,278
30/10/2000 12:45,0.53125,4.883,290,3.5997252,280
30/10/2000 13:00,0.541666667,4.903,292,3.6047724,282
