Time,Day,Skelton Stage,Skelton Flow,Viking Stage
26/12/2015 00:00,0,4.13,208,3.042
26/12/2015 00:15,0.010416667,4.14,209,3.047
26/12/2015 00:30,0.020833333,4.148,210,3.056
26/12/2015 00:45,0.03125,4.155,211,3.064
26/12/2015 01:00,0.041666667,4.167,211,3.071
26/12/2015 01:15,0.052083333,4.179,213,3.079
26/12/2015 01:30,0.0625,4.188,214,3.087
26/12/2015 01:45,0.072916667,4.201,215,3.094
26/12/2015 02:00,0.083333333,4.214,217,3.109
26/12/2015 02:15,0.09375,4.228,218,3.12
26/12/2015 02:30,0.104166667,4.246,219,3.125
26/12/2015 02:45,0.114583333,4.258,221,3.135
26/12/2015 03:00,0.125,4.28,223,3.145
26/12/2015 03:15,0.135416667,4.297,224,3.156
26/12/2015 03:30,0.145833333,4.311,226,3.168
26/12/2015 03:45,0.15625,4.332,229,3.181
26/12/2015 04:00,0.166666667,4.35,229,3.191
26/12/2015 04:15,0.177083333,4.369,232,3.204
26/12/2015 04:30,0.1875,4.387,234,3.219
26/12/2015 04:45,0.197916667,4.403,235,3.23
26/12/2015 05:00,0.208333333,4.418,237,3.242
26/12/2015 05:15,0.21875,4.443,239,3.254
26/12/2015 05:30,0.229166667,4.459,241,3.276
26/12/2015 05:45,0.239583333,4.481,243,3.29
26/12/2015 06:00,0.25,4.501,244,3.298
26/12/2015 06:15,0.260416667,4.52,246,3.317
26/12/2015 06:30,0.270833333,4.541,250,3.335
26/12/2015 06:45,0.28125,4.566,251,3.351
26/12/2015 07:00,0.291666667,4.589,254,3.369
26/12/2015 07:15,0.302083333,4.608,255,3.378
26/12/2015 07:30,0.3125,4.63,257,3.396
26/12/2015 07:45,0.322916667,4.654,258,3.409
26/12/2015 08:00,0.333333333,4.675,261,3.425
26/12/2015 08:15,0.34375,4.7,262,3.444
26/12/2015 08:30,0.354166667,4.716,264,3.465
26/12/2015 08:45,0.364583333,4.744,267,3.486
26/12/2015 09:00,0.375,4.768,268,3.503
26/12/2015 09:15,0.385416667,4.789,270,3.518
26/12/2015 09:30,0.395833333,4.804,273,3.537
26/12/2015 09:45,0.40625,4.834,276,3.558
26/12/2015 10:00,0.416666667,4.854,279,3.574
26/12/2015 10:15,0.427083333,4.879,281,3.586
26/12/2015 10:30,0.4375,4.901,284,3.612
26/12/2015 10:45,0.447916667,4.928,287,3.629
26/12/2015 11:00,0.458333333,4.946,287,3.646
26/12/2015 11:15,0.46875,4.97,288,3.664
26/12/2015 11:30,0.479166667,4.992,291,3.679
26/12/2015 11:45,0.489583333,5.008,293,3.693
26/12/2015 12:00,0.5,5.028,296,3.709
26/12/2015 12:15,0.510416667,5.045,298,3.725
26/12/2015 12:30,0.520833333,5.064,299,3.742
26/12/2015 12:45,0.53125,5.074,299,3.756
26/12/2015 13:00,0.541666667,5.088,300,3.77
26/12/2015 13:15,0.552083333,5.107,301,3.782
26/12/2015 13:30,0.5625,5.125,303,3.797
26/12/2015 13:45,0.572916667,5.138,303,3.807
26/12/2015 14:00,0.583333333,5.158,303,3.817
26/12/2015 14:15,0.59375,5.162,303,3.827
26/12/2015 14:30,0.604166667,5.176,302,3.839
26/12/2015 14:45,0.614583333,5.187,305,3.85
26/12/2015 15:00,0.625,5.203,306,3.861
26/12/2015 15:15,0.635416667,5.205,306,3.872
26/12/2015 15:30,0.645833333,5.22,305,3.88
26/12/2015 15:45,0.65625,5.229,309,3.89
26/12/2015 16:00,0.666666667,5.244,309,3.901
26/12/2015 16:15,0.677083333,5.267,314,3.909
26/12/2015 16:30,0.6875,5.286,319,3.919
26/12/2015 16:45,0.697916667,5.315,322,3.934
26/12/2015 17:00,0.708333333,5.331,326,3.949
26/12/2015 17:15,0.71875,5.359,332,3.958
26/12/2015 17:30,0.729166667,5.382,335,3.976
26/12/2015 17:45,0.739583333,5.405,339,3.991
26/12/2015 18:00,0.75,5.44,345,4.008
26/12/2015 18:15,0.760416667,5.458,348,4.021
26/12/2015 18:30,0.770833333,5.482,352,4.037
26/12/2015 18:45,0.78125,5.514,357,4.055
26/12/2015 19:00,0.791666667,5.545,363,4.053
26/12/2015 19:15,0.802083333,5.571,367,4.091
26/12/2015 19:30,0.8125,5.595,371,4.107
26/12/2015 19:45,0.822916667,5.621,373,4.129
26/12/2015 20:00,0.833333333,5.65,380,4.149
26/12/2015 20:15,0.84375,5.683,385,4.164
26/12/2015 20:30,0.854166667,5.714,390,4.186
26/12/2015 20:45,0.864583333,5.743,398,4.198
26/12/2015 21:00,0.875,5.788,402,4.219
26/12/2015 21:15,0.885416667,5.822,407,4.242
26/12/2015 21:30,0.895833333,5.853,417,4.262
26/12/2015 21:45,0.90625,5.894,425,4.28
26/12/2015 22:00,0.916666667,5.928,429,4.294
26/12/2015 22:15,0.927083333,5.957,435,4.31
26/12/2015 22:30,0.9375,6.002,442,4.327
26/12/2015 22:45,0.947916667,6.029,448,4.342
26/12/2015 23:00,0.958333333,6.069,454,4.354
26/12/2015 23:15,0.96875,6.083,464,4.367
26/12/2015 23:30,0.979166667,6.117,467,4.381
26/12/2015 23:45,0.989583333,6.138,477,4.422
27/12/2015 00:00,1,6.157,485,4.431
27/12/2015 00:15,1.010416667,6.169,491,4.444
27/12/2015 00:30,1.020833333,6.176,498,4.47
27/12/2015 00:45,1.03125,6.191,504,4.486
27/12/2015 01:00,1.041666667,6.198,508,4.515
27/12/2015 01:15,1.052083333,6.209,510,4.529
27/12/2015 01:30,1.0625,6.219,516,4.543
27/12/2015 01:45,1.072916667,6.227,521,4.556
27/12/2015 02:00,1.083333333,6.229,528,4.563
27/12/2015 02:15,1.09375,6.235,527,4.575
27/12/2015 02:30,1.104166667,6.25,527,4.589
27/12/2015 02:45,1.114583333,6.247,529,4.604
27/12/2015 03:00,1.125,6.238,536,4.614
27/12/2015 03:15,1.135416667,6.258,534,4.624
27/12/2015 03:30,1.145833333,6.245,539,4.634
